TTB ID,Permit No.,Serial Number,Completed Date,Fanciful Name,Brand Name,Origin,Origin Desc,Class/Type,Class/Type Desc
'24058001001170',BWN-NY-21261,24HV04,03/07/2024,,CITY WINERY HUDSON VALLEY,51,FRANCE,80A,ROSE WINE
'24059001000013',MA-I-548,240032,03/04/2024,MATHIAS PARENT,A.F. GROS,51,FRANCE,80,TABLE RED WINE
'24059001000029',LA-I-21020,243111,03/06/2024,CUVEE FELINE,DOMAINE FELINES JOURDAN,51,FRANCE,81,TABLE WHITE WINE
'24059001000034',VA-I-21182,240002,03/04/2024,,PAPER BOAT,62,ARGENTINA,80,TABLE RED WINE
'24059001000039',VA-I-468,241023,03/04/2024,,SANTA VENERE,50,ITALY,80,TABLE RED WINE
'24059001000040',VA-I-468,241024,03/04/2024,,SANTA VENERE,50,ITALY,81,TABLE WHITE WINE
'24059001000042',VA-I-468,241025,03/04/2024,FEDERICO SCALA,SANTA VENERE,50,ITALY,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24059001000061',DSP-FL-20073,242001,03/04/2024,,ODYSEA,16,FLORIDA,141,BOURBON WHISKY
'24059001000098',NY-I-15240,246666,03/01/2024,NOMI,I CLIVI,50,ITALY,84,SPARKLING WINE/CHAMPAGNE
'24059001000127',BWN-TN-15006,240229,03/06/2024,,CENTURY FARM WINERY
WATERMELON WINE,43,TENNESSEE,83,TABLE FRUIT WINE
'24059001000129',NY-I-21645,24R022,03/04/2024,BLUE LABEL,JOHNNIE WALKER,5K,SCOTLAND,151,SCOTCH WHISKY FB
'24059001000150',WA-I-1290,240004,03/04/2024,,FRIGATE RESERVE,7E,PANAMA,493,OTHER RUM GOLD FB
'24059001000154',WA-I-1290,240005,03/04/2024,,FRIGATE RESERVE,7E,PANAMA,493,OTHER RUM GOLD FB
'24059001000157',WA-I-1290,240006,03/04/2024,,FRIGATE RESERVE,7E,PANAMA,493,OTHER RUM GOLD FB
'24059001000166',NY-I-15240,241346,03/01/2024,ARZILLARI,I CLIVI,50,ITALY,81,TABLE WHITE WINE
'24059001000171',DSP-VA-20114,24VOC3,03/04/2024,VODKA ORANGE CRUSH,THREE NOTCH'D DISTILLING COMPANY,05,VIRGINIA,739,OTHER COCKTAILS (UNDER 48 PROOF)
'24059001000172',NY-I-15240,247181,03/01/2024,BRAZAN,I CLIVI,50,ITALY,81,TABLE WHITE WINE
'24059001000176',NY-I-1011,240033,03/01/2024,BIRILLO,MARSILIANA,50,ITALY,80,TABLE RED WINE
'24059001000178',FL-I-22489,240007,03/01/2024,3055,JEAN LEON,52,SPAIN,81,TABLE WHITE WINE
'24059001000181',FL-I-22489,240008,03/01/2024,3055,JEAN LEON,52,SPAIN,80A,ROSE WINE
'24059001000184',TX-I-15081,240015,03/01/2024,,CHATEAU VALMONT,51,FRANCE,80A,ROSE WINE
'24059001000186',FL-I-22489,240009,03/01/2024,LA SCALA,JEAN LEON,52,SPAIN,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24059001000189',NY-I-1011,240034,03/01/2024,MARSILIANA, MARSILIANA,50,ITALY,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24059001000191',FL-I-22489,240010,03/01/2024,,JEAN LEON,52,SPAIN,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24059001000197',FL-I-22616,240007,03/04/2024,,BONOMO MONTIEL,62,ARGENTINA,80,TABLE RED WINE
'24059001000198',DSP-CT-21010,240228,03/05/2024,CRANBERRY MULE,FIFTH STATE,14,CONNECTICUT,739,OTHER COCKTAILS (UNDER 48 PROOF)
'24059001000204',NY-I-15240,241978,03/01/2024,SAN LORENZO,I CLIVI,50,ITALY,81,TABLE WHITE WINE
'24059001000218',BWN-PA-21273,240032,03/01/2024,,LAVENDER ACRES WINERY,39,PENNSYLVANIA,81,TABLE WHITE WINE
'24059001000222',NY-I-15210,24F28B,03/04/2024,RISERVA,SALCHETO,50,ITALY,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24059001000223',NY-I-21809,242401,03/04/2024,,COLLI DI POIANIS,50,ITALY,81,TABLE WHITE WINE
'24059001000224',NY-I-15240,241847,03/01/2024,SAN PIETRO,I CLIVI,50,ITALY,81,TABLE WHITE WINE
'24059001000225',DSP-MO-20055,240002,03/04/2024,,BUZZARD RUN,29,MISSOURI,101,STRAIGHT BOURBON WHISKY
'24059001000247',BR-TX-20029,24BACB,03/12/2024,BARREL AGED FEST WITH COCONUT, CHOCOLATE, MARSHMALLOW CINNAMON AND COFFEE BEANS,903 BREWERS,44,TEXAS,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24059001000264',DSP-FL-15012,240001,03/05/2024,TOASTED COCONUT RUM,SIESTA KEY,16,FLORIDA,644,RUM SPECIALTIES
'24059001000266',NJ-I-766,241135,03/04/2024,,DOMAINE PERTUIZET,51,FRANCE,80,TABLE RED WINE
'24059001000310',BR-OK-KRE-15000,240228,03/12/2024,NOT SUBTLE,PRAIRIE ARTISAN ALES,37,OKLAHOMA,904,STOUT
'24059001000311',NY-I-15635,240022,03/05/2024,LES GARDES REMI,LES CHAMPS DE L'ABBAYE,51,FRANCE,80,TABLE RED WINE
'24059001000316',FL-I-22672,240057,03/01/2024,FANTASIA,CASA COMERCI,50,ITALY,84,SPARKLING WINE/CHAMPAGNE
'24059001000317',NY-I-15635,240023,03/05/2024,LES OXFORDIENNES,LES CHAMPS DE L'ABBAYE,51,FRANCE,81,TABLE WHITE WINE
'24059001000330',BWC-TX-21003,240229,03/03/2024,,VINOVIUM PARTNERS,44,TEXAS,81,TABLE WHITE WINE
'24059001000335',BWC-AZ-21005,245361,03/02/2024,BLUE COLLAR IMPACT,BLUE COLLAR VINEYARD,11,ARIZONA,80,TABLE RED WINE
